ID, ROBOT_X, ROBOT_Y, ANGLE
5, 1.02099, -0.739328, -0.150946
5, 1.02097, -0.739843, -0.150946
5, 1.02122, -0.739052, -0.154544
5, 1.02135, -0.738893, -0.154544
5, 1.02222, -0.73798, -0.148056
5, 1.0226, -0.737574, -0.148056
5, 1.02151, -0.739063, -0.151523
5, 1.02134, -0.739352, -0.151523
5, 1.02032, -0.739096, -0.149529
5, 1.01986, -0.739179, -0.149529
5, 1.02125, -0.739329, -0.151151
5, 1.02149, -0.739443, -0.151151
5, 1.02057, -0.73962, -0.155191
5, 1.02034, -0.739765, -0.155191
5, 1.02151, -0.73815, -0.145119
5, 1.02181, -0.73765, -0.145119
5, 1.02199, -0.739151, -0.156926
5, 1.02223, -0.739374, -0.156926
5, 1.02133, -0.739864, -0.15238
5, 1.02113, -0.74019, -0.15238
5, 1.02201, -0.739584, -0.151202
5, 1.02223, -0.739542, -0.151202
5, 1.02081, -0.739044, -0.15373
5, 1.02046, -0.738861, -0.15373
5, 1.02144, -0.739042, -0.148574
5, 1.0216, -0.738997, -0.148574
5, 1.02082, -0.739545, -0.15721
5, 1.02058, -0.739758, -0.15721
5, 1.02087, -0.739546, -0.154786
5, 1.02098, -0.739476, -0.154786
