ID, ROBOT_X, ROBOT_Y, ROBOT_W, GYRO_W, ODM_W, BOTH_W, VIS_W, VISION_X, VISION_Y, VISION_W, NAV_X, NAV_Y, NAV_W, BEHAVIOR, LABEL
5, -1.128, -1.346, 0.0341, 0.03, 0.03, 0.03, 0.0312783, -1.25508, -1.33415, 0.0312783, 0.532234, -0.00216784, -0.0117604, 1, 1234
5, -1.102, -1.345, 0.0341, 0.03, 0.03, 0.03, 0.0208039, -1.23633, -1.33325, 0.0208039, 0.525234, 0.00319444, 0.018263, 1, 1234
5, -1.093, -1.345, 0.0344, 0.03, 0.03, 0.03, 0.0208039, -1.22746, -1.33295, 0.0208039, 0.522762, 0.00315606, 0.0181314, 1, 1234
5, -1.082, -1.344, 0.0347, 0.03, 0.03, 0.03, 0.027731, -1.21876, -1.33269, 0.027731, 0.521525, -0.000476768, -0.00264994, 1, 1234
5, -1.082, -1.344, 0.0347, 0.03, 0.03, 0.03, 0.027731, -1.21121, -1.33245, 0.027731, 0.519415, -0.000491474, -0.00273864, 1, 1234
5, -1.065, -1.344, 0.0351, 0.02, 0.03, 0.03, 0.0285616, -1.20361, -1.332, 0.0285616, 0.517425, -0.00102376, -0.00523049, 1, 1234
5, -1.06, -1.343, 0.0351, 0.02, 0.03, 0.03, 0.0285616, -1.19634, -1.33165, 0.0285616, 0.515394, -0.00108947, -0.00534653, 1, 1234
5, -1.049, -1.343, 0.0351, 0.02, 0.03, 0.03, 0.0222326, -1.18638, -1.33011, 0.0222326, 0.511565, 0.00160805, 0.012945, 1, 1234
5, -1.039, -1.343, 0.0345, 0.02, 0.03, 0.03, 0.0222326, -1.17885, -1.32939, 0.0222326, 0.509475, 0.00137043, 0.0125953, 1, 1234
5, -1.031, -1.342, 0.0356, 0.02, 0.03, 0.03, 0.0252389, -1.16882, -1.32845, 0.0252389, 0.507356, -0.000458072, 0.0001832, 1, 1234
5, -1.031, -1.342, 0.0356, 0.02, 0.03, 0.03, 0.0252389, -1.16882, -1.32845, 0.0252389, 0.507457, -0.000458165, -0.00163152, 1, 1234
5, -1.01, -1.342, 0.0357, 0.02, 0.03, 0.03, 0.0191662, -1.15261, -1.32763, 0.0191662, 0.501962, 0.00240889, 0.0155096, 1, 1234
5, -1.005, -1.341, 0.0361, 0.02, 0.03, 0.03, 0.0191662, -1.14509, -1.32715, 0.0191662, 0.499927, 0.00226714, 0.0142871, 1, 1234
5, -0.998, -1.341, 0.0362, 0.02, 0.03, 0.03, 0.0191662, -1.14509, -1.32715, 0.0191662, 0.499927, 0.00226714, 0.0142871, 1, 1234
5, -0.983, -1.341, 0.0352, 0.02, 0.03, 0.03, 0.0266314, -1.13202, -1.3269, 0.0266314, 0.497532, -0.00142891, -0.00879083, 1, 1234
5, -0.983, -1.341, 0.0352, 0.02, 0.03, 0.03, 0.0280623, -1.11689, -1.32743, 0.0280623, 0.493527, -0.0017305, -0.0130837, 1, 1234
5, -0.973, -1.34, 0.0354, 0.02, 0.03, 0.03, 0.0280623, -1.10987, -1.32747, 0.0280623, 0.491554, -0.00163084, -0.0129493, 1, 1234
5, -0.945, -1.339, 0.0383, 0.03, 0.03, 0.03, 0.0320188, -1.09192, -1.32681, 0.0320188, 0.486977, -0.00363967, -0.0218225, 1, 1234
5, -0.938, -1.339, 0.0385, 0.03, 0.03, 0.03, 0.0320188, -1.08561, -1.3267, 0.0320188, 0.485237, -0.00360481, -0.0223952, 1, 1234
5, -0.923, -1.338, 0.0365, 0.02, 0.03, 0.03, 0.0172808, -1.06913, -1.32365, 0.0172808, 0.478271, 0.00231311, 0.0219275, 1, 1234
5, -0.911, -1.338, 0.0345, 0.02, 0.03, 0.03, 0.0208928, -1.06014, -1.32233, 0.0208928, 0.476728, 8.20022e-05, 0.00338837, 1, 1234
5, -0.906, -1.338, 0.0348, 0.02, 0.03, 0.02, 0.0208928, -1.05216, -1.32123, 0.0208928, 0.474679, -0.000341483, -0.000288986, 1, 1234
5, -0.901, -1.338, 0.0342, 0.02, 0.03, 0.02, 0.0135854, -1.04416, -1.32051, 0.0135854, 0.471293, 0.00285566, 0.0216333, 1, 1234
5, -0.892, -1.337, 0.0348, 0.02, 0.03, 0.03, 0.0135854, -1.03742, -1.31983, 0.0135854, 0.469545, 0.00259389, 0.0189965, 1, 1234
5, -0.887, -1.337, 0.035, 0.02, 0.03, 0.03, 0.0135854, -1.02962, -1.31895, 0.0135854, 0.467426, 0.00225323, 0.0177727, 1, 1234
5, -0.881, -1.337, 0.0357, 0.02, 0.03, 0.03, 0.023174, -1.02571, -1.31902, 0.023174, 0.467913, -0.00216651, -0.0130999, 1, 1234
5, -0.881, -1.337, 0.0357, 0.02, 0.03, 0.03, 0.0192784, -1.01724, -1.31905, 0.0192784, 0.464959, -0.000256744, -0.00159764, 1, 1234
5, -0.862, -1.336, 0.0375, 0.02, 0.03, 0.03, 0.0192784, -1.01119, -1.31901, 0.0192784, 0.463338, -0.000224689, -0.0030362, 1, 1234
5, -0.854, -1.336, 0.0381, 0.02, 0.03, 0.03, 0.0192784, -1.00419, -1.31879, 0.0192784, 0.46129, -0.000264275, -0.00133853, 1, 1234
5, -0.845, -1.336, 0.0383, 0.02, 0.03, 0.03, 0.0227946, -0.998457, -1.31852, 0.0227946, 0.460226, -0.00195533, -0.0121912, 1, 1234
5, -0.84, -1.335, 0.0376, 0.02, 0.03, 0.03, 0.0227946, -0.991718, -1.31828, 0.0227946, 0.458361, -0.00200049, -0.0126957, 1, 1234
5, -0.836, -1.335, 0.0362, 0.02, 0.03, 0.03, 0.0332962, -0.982817, -1.3184, 0.0332962, 0.457371, -0.00666711, -0.0437383, 1, 1234
5, -0.824, -1.335, 0.0341, 0.02, 0.03, 0.03, 0.0332962, -0.976616, -1.3183, 0.0332962, 0.455626, -0.0066329, -0.0437383, 1, 1234
5, -0.82, -1.335, 0.0336, 0.02, 0.03, 0.02, 0.0196382, -0.971392, -1.31659, 0.0196382, 0.452165, -0.00115645, -0.0027645, 1, 1234
5, -0.811, -1.334, 0.0337, 0.02, 0.03, 0.02, 0.0196382, -0.964924, -1.3159, 0.0196382, 0.450346, -0.00142319, -0.00269648, 1, 1234
5, -0.807, -1.334, 0.0333, 0.02, 0.03, 0.02, 0.02106, -0.957098, -1.31623, 0.02106, 0.448621, -0.00184088, -0.0121965, 1, 1234
5, -0.795, -1.334, 0.0339, 0.02, 0.03, 0.02, 0.02106, -0.951135, -1.31597, 0.02106, 0.447036, -0.00191069, -0.0139998, 1, 1234
5, -0.795, -1.334, 0.0339, 0.02, 0.03, 0.02, 0.02106, -0.950157, -1.31592, 0.02106, 0.446762, -0.00192212, -0.0139998, 1, 1234
5, -0.77, -1.333, 0.0321, 0.02, 0.03, 0.02, 0.0261233, -0.93272, -1.31551, 0.0261233, 0.442536, -0.00420253, -0.0280968, 1, 1234
5, -0.766, -1.333, 0.0321, 0.02, 0.03, 0.02, 0.0261233, -0.926029, -1.31538, 0.0261233, 0.440657, -0.00419192, -0.0280968, 1, 1234
5, -0.762, -1.333, 0.0319, 0.02, 0.03, 0.02, 0.0135151, -0.911354, -1.31539, 0.0135151, 0.434743, 0.00146578, 0.00986159, 1, 1234
5, -0.75, -1.332, 0.0323, 0.02, 0.03, 0.02, 0.0135151, -0.901615, -1.31531, 0.0135151, 0.432019, 0.00149813, 0.00986159, 1, 1234
5, -0.741, -1.332, 0.0331, 0.02, 0.03, 0.02, 0.0135367, -0.900227, -1.31603, 0.0135367, 0.43162, 0.00184395, 0.0101315, 1, 1234
5, -0.737, -1.332, 0.0336, 0.02, 0.03, 0.02, 0.0135367, -0.893091, -1.31623, 0.0135367, 0.429521, 0.00198835, 0.0123378, 1, 1234
5, -0.733, -1.332, 0.0338, 0.02, 0.03, 0.03, 0.0263585, -0.886099, -1.31607, 0.0263585, 0.429309, -0.00353305, -0.0250337, 1, 1234
5, -0.722, -1.331, 0.036, 0.02, 0.03, 0.03, 0.0263585, -0.879339, -1.31612, 0.0263585, 0.427393, -0.00342909, -0.0246254, 1, 1234
5, -0.718, -1.331, 0.0364, 0.02, 0.03, 0.03, 0.0211244, -0.873905, -1.31422, 0.0211244, 0.425119, -0.00206138, -0.0085462, 1, 1234
5, -0.709, -1.331, 0.0345, 0.02, 0.03, 0.03, 0.0211244, -0.86867, -1.31366, 0.0211244, 0.42387, -0.0022884, -0.0133386, 1, 1234
5, -0.705, -1.331, 0.0339, 0.02, 0.03, 0.02, 0.0211244, -0.862603, -1.31301, 0.0211244, 0.422297, -0.00255244, -0.0161963, 1, 1234
5, -0.698, -1.331, 0.033, 0.02, 0.03, 0.02, 0.0230347, -0.859835, -1.31375, 0.0230347, 0.421874, -0.00297175, -0.0238632, 1, 1234
5, -0.689, -1.33, 0.0306, 0.02, 0.03, 0.02, 0.0230347, -0.854196, -1.3135, 0.0230347, 0.420168, -0.00303995, -0.021203, 1, 1234
5, -0.677, -1.33, 0.03, 0.01, 0.03, 0.02, 0.018508, -0.838517, -1.3128, 0.018508, 0.415184, -0.00134823, -0.00822994, 1, 1234
5, -0.671, -1.33, 0.0302, 0.01, 0.03, 0.02, 0.018508, -0.830686, -1.31231, 0.018508, 0.412987, -0.00152634, -0.00822994, 1, 1234
