ID," ROBOT_X"," ROBOT_Y"," ANGLE"
5," 2.47802"," -0.62726"," 1.26812"
5," 2.47784"," -0.609794"," 1.2706"
5," 2.47786"," -0.594786"," 1.2706"
5," 2.47788"," -0.580687"," 1.28368"
5," 2.4779"," -0.565977"," 1.28368"
5," 2.4791"," -0.552981"," 1.31354"
5," 2.47958"," -0.539211"," 1.31354"
5," 2.48227"," -0.522283"," 1.31996"
5," 2.48361"," -0.507172"," 1.31996"
5," 2.48549"," -0.492453"," 1.34189"
5," 2.48706"," -0.476842"," 1.34189"
5," 2.4876"," -0.462292"," 1.34806"
5," 2.48869"," -0.448242"," 1.34806"
5," 2.48916"," -0.429972"," 1.35947"
5," 2.48999"," -0.414906"," 1.35947"
5," 2.48985"," -0.400382"," 1.37087"
5," 2.49033"," -0.385527"," 1.37087"
5," 2.4904"," -0.371555"," 1.38795"
5," 2.49074"," -0.357054"," 1.38795"
5," 2.49187"," -0.341827"," 1.40097"
5," 2.49252"," -0.32679"," 1.40097"
5," 2.49325"," -0.311977"," 1.41253"
5," 2.49401"," -0.294402"," 1.41253"
5," 2.49405"," -0.282017"," 1.40828"
5," 2.49449"," -0.267769"," 1.40828"
5," 2.49485"," -0.250681"," 1.41855"
5," 2.49519"," -0.238144"," 1.41855"
5," 2.49527"," -0.222972"," 1.41957"
5," 2.49553"," -0.208204"," 1.41957"
5," 2.49502"," -0.193515"," 1.42741"
5," 2.49498"," -0.177104"," 1.42741"
5," 2.49489"," -0.161036"," 1.44635"
5," 2.49484"," -0.143747"," 1.44635"
5," 2.49708"," -0.130549"," 1.4437"
5," 2.49805"," -0.113015"," 1.4437"
5," 2.5005"," -0.100336"," 1.45418"
5," 2.50214"," -0.0837039"," 1.45418"
5," 2.5038"," -0.0667457"," 1.44775"
5," 2.50558"," -0.0485596"," 1.44775"
5," 2.50704"," -0.0342383"," 1.44298"
5," 2.50892"," -0.0154801"," 1.44298"
5," 2.50985"," -0.00411698"," 1.44713"
5," 2.51144"," 0.0126894"," 1.44713"
5," 2.5129"," 0.029129"," 1.4545"
5," 2.51455"," 0.0468263"," 1.4545"
5," 2.51568"," 0.0612331"," 1.45897"
5," 2.51726"," 0.0793479"," 1.45897"
5," 2.51855"," 0.0918784"," 1.45238"
5," 2.52019"," 0.10958"," 1.45238"
5," 2.52307"," 0.12558"," 1.461"
5," 2.52534"," 0.143842"," 1.461"
5," 2.52768"," 0.156886"," 1.44994"
5," 2.53029"," 0.175627"," 1.44994"
5," 2.53208"," 0.187062"," 1.45802"
5," 2.53458"," 0.204416"," 1.45802"
5," 2.53736"," 0.220215"," 1.46672"
5," 2.53979"," 0.235844"," 1.46672"
5," 2.54238"," 0.251391"," 1.45721"
5," 2.54535"," 0.270073"," 1.45721"
5," 2.54727"," 0.283961"," 1.45293"
5," 2.55009"," 0.302403"," 1.45293"
5," 2.55184"," 0.317311"," 1.46205"
5," 2.55401"," 0.332612"," 1.46205"
5," 2.55657"," 0.348495"," 1.46137"
5," 2.55911"," 0.36543"," 1.46137"
5," 2.56055"," 0.379515"," 1.46769"
5," 2.56253"," 0.394249"," 1.46769"
5," 2.5634"," 0.411764"," 1.45669"
5," 2.5652"," 0.429185"," 1.45669"
5," 2.56643"," 0.444755"," 1.46662"
5," 2.56824"," 0.463582"," 1.46662"
5," 2.56982"," 0.477111"," 1.46461"
5," 2.57168"," 0.495343"," 1.46461"
5," 2.57383"," 0.509168"," 1.46453"
5," 2.57592"," 0.526923"," 1.46453"
5," 2.57825"," 0.543899"," 1.45954"
5," 2.58023"," 0.559934"," 1.45954"
5," 2.58257"," 0.571887"," 1.45859"
5," 2.58473"," 0.586999"," 1.45859"
5," 2.58731"," 0.608355"," 1.46889"
5," 2.5874"," 0.613699"," 1.46889"
5," 2.59134"," 0.640871"," 1.45321"
5," 2.59348"," 0.657296"," 1.45321"
5," 2.59564"," 0.668184"," 1.46895"
5," 2.59778"," 0.682968"," 1.46895"
5," 2.6001"," 0.696571"," 1.46533"
5," 2.60238"," 0.711521"," 1.46533"
5," 2.604"," 0.727328"," 1.47582"
5," 2.60624"," 0.743993"," 1.47582"
5," 2.60669"," 0.75489"," 1.47174"
5," 2.60847"," 0.77071"," 1.47174"
5," 2.6101"," 0.784719"," 1.47041"
5," 2.61165"," 0.798328"," 1.47041"
5," 2.61342"," 0.812109"," 1.46593"
5," 2.61506"," 0.825913"," 1.46593"
5," 2.61694"," 0.835565"," 1.46841"
5," 2.61863"," 0.84785"," 1.46841"
5," 2.6202"," 0.862054"," 1.45644"
5," 2.62029"," 0.866444"," 1.45644"
5," 2.62381"," 0.887413"," 1.46505"
