X, Y, Z, Vx, Vy, Vz, T
2.349281432085352783e+00, -2.386588240141545914e+00, -5.330684576526982710e+02, 2.119928942171654285e+00, -2.420911279358518353e+00, 3.129353755029914197e+00, 6.022167325019836426e+01
2.308821292417081228e+00, -2.394109595072047902e+00, -5.329340687151783413e+02, 2.085359438001043397e+00, -2.417192149297457071e+00, 3.124872765023662957e+00, 6.026446104049682617e+01
2.269493707592077580e+00, -2.402004187423798065e+00, -5.328297321998546749e+02, 2.043152953235599867e+00, -2.415561193364191173e+00, 3.121709336833532689e+00, 6.030737471580505371e+01
2.238816981758392721e+00, -2.408063711584019551e+00, -5.328431366820142330e+02, 2.005388055851236029e+00, -2.415960149786632982e+00, 3.129020229045949897e+00, 6.035101413726806641e+01
2.200652687162604426e+00, -2.415581362117164677e+00, -5.328500182740270930e+02, 1.968774065262069328e+00, -2.416097385127753849e+00, 3.128508683711073157e+00, 6.039376163482666016e+01
2.163217902510494728e+00, -2.422702115108423815e+00, -5.326640150710708213e+02, 1.938248559064812859e+00, -2.418822336316474697e+00, 3.136570971557612442e+00, 6.043687319755554199e+01
2.131193697215150173e+00, -2.429156227626918074e+00, -5.323789494797491670e+02, 1.895000000000000018e+00, -2.415000000000000036e+00, 3.127099999999999991e+00, 6.047923731803894043e+01
2.095704584673319104e+00, -2.435547060465262703e+00, -5.321568261397430888e+02, 1.857880428036230436e+00, -2.417534760453388110e+00, 3.140696229602665479e+00, 6.052209830284118652e+01
2.061678389464492334e+00, -2.441531326349091646e+00, -5.318504991180658408e+02, 1.819308886171976392e+00, -2.417694606660155010e+00, 3.138952121826224850e+00, 6.056491875648498535e+01
2.032849754251643493e+00, -2.446258046460175084e+00, -5.316981279382663388e+02, 1.790665750674377721e+00, -2.417711109769705047e+00, -3.135002721742317089e+00, 6.060787034034729004e+01
2.000799755098703336e+00, -2.452774527096860169e+00, -5.314337364689060905e+02, 1.762320853392447040e+00, -2.416625680033843704e+00, -3.131092773821014141e+00, 6.065095829963684082e+01
